id,cinsiyyət,Yaşlı təbəqə,tərəfdaş,asılı olanlar,müddəti,Telefon Xidməti,Birdən çox xətt,İnternet servisi,onlayn təhlükəsizlik,onlayn yedəkləmə,Cihazın Mühafizəsi,texniki dəstək,canli tv,filmlər,müqavilə,Kağızsız Hesablaşma,ödəniş metodu,Aylıq Ödənişlər,Ümumi ödənişlər,Churn,"TelefonXidməti,KağızsızHesablaşma"
7590-VHVEG,Qadın,0,Hə,Yox,1,Yox,Teleon xidmeti yoxdur,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,29.85,29.85,Yox,Yox Hə
5575-GNVDE,Kişi,0,Yox,Yox,34,Hə,Yox,DSL,Hə,Yox,Hə,Yox,Yox,Yox,illik,Yox,mail cek,56.95,1889.5,Yox,Hə Yox
3668-QPYBK,Kişi,0,Yox,Yox,2,Hə,Yox,DSL,Hə,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,53.85,108.15,Hə,Hə Hə
7795-CFOCW,Kişi,0,Yox,Yox,45,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Hə,Hə,Yox,Yox,illik,Yox,bank transfer,42.3,1840.75,Yox,Yox Yox
9237-HQITU,,0,Yox,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,elektronik cek,70.7,151.65,Hə,Hə Hə
9305-CDSKC,Qadın,0,Yox,Yox,8,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,elektronik cek,99.65,820.5,Hə,Hə Hə
1452-KIOVK,Kişi,0,,Hə,22,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Yox,ayliq,Hə,kredit karti,89.1,1949.4,Yox,Hə Hə
6713-OKOMC,Qadın,0,Yox,Yox,10,Yox,Teleon xidmeti yoxdur,DSL,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,mail cek,29.75,301.9,Yox,Yox Yox
7892-POOKP,Qadın,0,Hə,Yox,28,Hə,Hə,Fiber optic,Yox,Yox,Hə,Hə,Hə,Hə,ayliq,Hə,elektronik cek,104.8,3046.05,Hə,Hə Hə
6388-TABGU,Kişi,0,Yox,Hə,62,Hə,Yox,DSL,Hə,Hə,Yox,Yox,Yox,Yox,illik,Yox,bank transfer,56.15,3487.95,Yox,Hə Yox
9763-GRSKD,Kişi,0,Hə,Hə,13,Hə,Yox,DSL,Hə,Yox,Yox,Yox,Yox,Yox,ayliq,Hə,mail cek,49.95,587.45,Yox,Hə Hə
7469-LKBCI,Kişi,0,Yox,Yox,16,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2illik,Yox,kredit karti,18.95,326.8,Yox,Hə Yox
8091-TTVAX,Kişi,0,Hə,Yox,58,Hə,Hə,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,illik,Yox,kredit karti,100.35,5681.1,Yox,Hə Yox
0280-XJGEX,Kişi,0,Yox,Yox,49,Hə,Hə,Fiber optic,Yox,Hə,Hə,Yox,Hə,Hə,ayliq,Hə,bank transfer,103.7,5036.3,Hə,Hə Hə
5129-JLPIS,Kişi,0,Yox,Yox,25,Hə,Yox,Fiber optic,Hə,Yox,Hə,Hə,Hə,Hə,ayliq,Hə,elektronik cek,105.5,2686.05,Yox,Hə Hə
3655-SNQYZ,Qadın,0,Hə,Hə,69,Hə,Hə,Fiber optic,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Yox,kredit karti,113.25,7895.15,Yox,Hə Yox
8191-XWSZG,Qadın,0,Yox,Yox,52,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Yox,mail cek,20.65,1022.95,Yox,Hə Yox
9959-WOFKT,Kişi,0,Yox,Hə,71,Hə,Hə,Fiber optic,Hə,Yox,Hə,Yox,Hə,Hə,2illik,Yox,bank transfer,106.7,7382.25,Yox,Hə Yox
4190-MFLUW,Qadın,0,Hə,Hə,10,Hə,Yox,DSL,Yox,Yox,Hə,Hə,Yox,Yox,ayliq,Yox,kredit karti,55.2,528.35,Hə,Hə Yox
4183-MYFRB,Qadın,0,Yox,Yox,21,Hə,Yox,Fiber optic,Yox,Hə,Hə,Yox,Yox,Hə,ayliq,Hə,elektronik cek,90.05,1862.9,Yox,Hə Hə
8779-QRDMV,Kişi,1,Yox,Yox,1,Yox,Teleon xidmeti yoxdur,DSL,Yox,Yox,Hə,Yox,Yox,Hə,ayliq,Hə,elektronik cek,39.65,39.65,Hə,Yox Hə
1680-VDCWW,,0,Hə,Yox,12,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,illik,Yox,bank transfer,19.8,202.25,Yox,Hə Yox
1066-JKSGK,Kişi,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,mail cek,20.15,20.15,Hə,Hə Yox
3638-WEABW,Qadın,0,Hə,Yox,58,Hə,Hə,DSL,Yox,Hə,Yox,Hə,Yox,Yox,2illik,Hə,kredit karti,59.9,3505.1,Yox,Hə Hə
6322-HRPFA,Kişi,0,Hə,Hə,49,Hə,Yox,DSL,Hə,Hə,Yox,Hə,Yox,Yox,ayliq,Yox,kredit karti,59.6,2970.3,Yox,Hə Yox
6865-JZNKO,Qadın,0,Yox,Yox,30,Hə,Yox,DSL,Hə,Hə,Yox,Yox,Yox,Yox,ayliq,Hə,bank transfer,55.3,1530.6,Yox,Hə Hə
6467-CHFZW,Kişi,0,Hə,Hə,47,Hə,Hə,Fiber optic,Yox,Hə,Yox,Yox,Hə,Hə,ayliq,Hə,elektronik cek,99.35,4749.15,Hə,Hə Hə
8665-UTDHZ,Kişi,0,Hə,Hə,1,Yox,Teleon xidmeti yoxdur,DSL,Yox,Hə,Yox,Yox,Yox,Yox,ayliq,Yox,elektronik cek,30.2,30.2,Hə,Yox Yox
5248-YGIJN,Kişi,0,Hə,Yox,72,Hə,Hə,DSL,Hə,Hə,Hə,Hə,Hə,Hə,2illik,Hə,kredit karti,90.25,6369.45,Yox,Hə Hə
8773-HHUOZ,Qadın,0,Yox,Hə,17,Hə,Yox,DSL,Yox,Yox,Yox,Yox,Hə,Hə,ayliq,Hə,mail cek,64.7,1093.1,Hə,Hə Hə
3841-NFECX,Qadın,1,Hə,Yox,71,Hə,Hə,Fiber optic,Hə,Hə,Hə,Hə,Yox,Yox,2illik,Hə,kredit karti,96.35,6766.95,Yox,Hə Hə
4929-XIHVW,Kişi,1,Hə,Yox,2,Hə,Yox,Fiber optic,Yox,Yox,Hə,Yox,Hə,Hə,ayliq,Hə,kredit karti,95.5,181.65,Yox,Hə Hə
6827-IEAUQ,Qadın,0,Hə,Hə,27,Hə,Yox,DSL,Hə,Hə,Hə,Hə,Yox,Yox,illik,Yox,mail cek,66.15,1874.45,Yox,Hə Yox
7310-EGVHZ,Kişi,0,Yox,Yox,1,Hə,Yox,Yox,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ayliq,Yox,bank transfer,20.2,20.2,Yox,Hə Yox
3413-BMNZE,Kişi,1,Yox,Yox,1,Hə,Yox,DSL,Yox,Yox,Yox,Yox,Yox,Yox,ayliq,Yox,bank transfer,45.25,45.25,Yox,Hə Yox
6234-RAAPL,Qadın,0,Hə,Hə,72,Hə,Hə,Fiber optic,Hə,Hə,Yox,Hə,Hə,Yox,2illik,Yox,bank transfer,99.9,7251.7,Yox,Hə Yox
